Date;Inf.1;Inf.2;Backflush Inf.1;Backflush Inf.2;Totaal;Flow Inf.1;Flow Inf.2
10-12-2019 12:00;1355.49;1328.86;;;;;
21-9-2020 10:10;1373.73;1347.16;2191.13;4535.55;25509;;
21-9-2020 13:40;;;;;;8.75;9.3
25-9-2020 09:31;1456.95;1436.22;2211.68;4556.04;25703;;
2-10-2020 11:30;1925.83;1890.59;2227.01;4571.18;26675;;
6-10-2020 10:14;;;;;28079;;
14-10-2020 11:00;2794;2543;2308;4650;31875;;
10-12-2020 08:56;2794;2543;2320;4666;40390;;
28-12-2020 12:00;3378;3062;2339;4684;450290;8;5
1-2-2021 12:27;3385;3060;2355;4700;53965;6.1;6.2
18-3-2021 12:00;4995.8;4516.3;2513.7;4853.4;57971;;
